Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-03-22,60419479,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,,,An example of why you may want to actually see the appliance in real life rather than online.,"[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.","[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.",,,3.0
24-03-22,60419479,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Neutral,use,Design,"Our dishes are not unusual, yet plates only fit when pressure is put on the tines.","[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.","[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.",,,3.0
24-03-22,60419479,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,Easy_Use,"Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.","[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.","[ Great cleaning,but will your plates andsilver fit? ] || ---------------- || Does a great job, quiet, but the times on the dish racks are too close together to fit normal plates or bowls. They are inflexible and you don't have the option to fold down every other row. An example of why you may want to actually see the appliance in real life rather than online. Our dishes are not unusual, yet plates only fit when pressure is put on the tines. Also the grid on the top of the silverware basket is too fine to allow the stems of our flatware to fit in, so we leave the top grid folded down.",,,3.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Performance_Washing,This dishwasher cleans twice as well as my old GE.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Design,It looks good and runs quiet.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Positive,use,Noise_Vibration,It looks good and runs quiet.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,onboard,Delivery_Installation,"That said, I have two complaints, one about the product and one about the install from Costco's contractor.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,Easy_Use,The product: I'm not a fan of the touch control display.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,,It doesn't light up every time I open it.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,use,Durability,The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
24-03-22,60419482,dw,top_control,BOSCH,800_series,SHX78B75UC,,us,retail,costco,,Negative,onboard,Easy_Use,The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way.,"[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.","[ Silent and Powerful/Questionable Control Interface ] || ---------------- || This dishwasher cleans twice as well as my old GE. It looks good and runs quiet.That said, I have two complaints, one about the product and one about the install from Costco's contractor.The product: I'm not a fan of the touch control display. It doesn't light up every time I open it. The power button takes multiple seconds of pressing to activate and sometimes takes multiple pressings.The install: The guys who came out where nice enough and the dishwasher doesn't seem to have any leaks or power issues but they did not secure it to the cabinetry or the counter top so now it will rock forward if I roll the racks out all the way. I'll solve this by shopping for the appropriate screws but it defeats the purpose of having professionals do the install.",,,4.0
