Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-11-29,57128050,dw,builtin,SAMSUNG,BESPOKE,DW60BB815WSWS,ASIA,kr,retail,naver_shop,,Positive,onboard,Delivery_Installation,The satin white color matches well with the sink and the installation was done meticulously.,"[ He visited the day before for sink remodeling work prior to installation, but luckily there was no problem. ] || ---------------- || The customer visited the day before for sink remodeling work prior to installation, but fortunately, installation was possible without any problems and it was delivered the next day. The satin white color matches well with the sink and the installation was done meticulously. I am satisfied and will use it well. #Samsung Electronics Event Participation",[ 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 ... ] || ---------------- || 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 없이 설치 가능해서 다음날 배송 받았네요.세틴 화이트색 너무 싱크대와 잘 어울리고 설치도 꼼꼼하게 잘해주셨어요.만족하고 잘쓰겠습니다.#삼성전자이벤트참여,,,5.0
23-11-29,57128050,dw,builtin,SAMSUNG,BESPOKE,DW60BB815WSWS,ASIA,kr,retail,naver_shop,,Positive,onboard,Design,The satin white color matches well with the sink and the installation was done meticulously.,"[ He visited the day before for sink remodeling work prior to installation, but luckily there was no problem. ] || ---------------- || The customer visited the day before for sink remodeling work prior to installation, but fortunately, installation was possible without any problems and it was delivered the next day. The satin white color matches well with the sink and the installation was done meticulously. I am satisfied and will use it well. #Samsung Electronics Event Participation",[ 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 ... ] || ---------------- || 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 없이 설치 가능해서 다음날 배송 받았네요.세틴 화이트색 너무 싱크대와 잘 어울리고 설치도 꼼꼼하게 잘해주셨어요.만족하고 잘쓰겠습니다.#삼성전자이벤트참여,,,5.0
23-11-29,57128050,dw,builtin,SAMSUNG,BESPOKE,DW60BB815WSWS,ASIA,kr,retail,naver_shop,,Positive,use,,I am satisfied and will use it well. #,"[ He visited the day before for sink remodeling work prior to installation, but luckily there was no problem. ] || ---------------- || The customer visited the day before for sink remodeling work prior to installation, but fortunately, installation was possible without any problems and it was delivered the next day. The satin white color matches well with the sink and the installation was done meticulously. I am satisfied and will use it well. #Samsung Electronics Event Participation",[ 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 ... ] || ---------------- || 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 없이 설치 가능해서 다음날 배송 받았네요.세틴 화이트색 너무 싱크대와 잘 어울리고 설치도 꼼꼼하게 잘해주셨어요.만족하고 잘쓰겠습니다.#삼성전자이벤트참여,,,5.0
23-11-29,57128050,dw,builtin,SAMSUNG,BESPOKE,DW60BB815WSWS,ASIA,kr,retail,naver_shop,,Neutral,,,Samsung Electronics Event Participation,"[ He visited the day before for sink remodeling work prior to installation, but luckily there was no problem. ] || ---------------- || The customer visited the day before for sink remodeling work prior to installation, but fortunately, installation was possible without any problems and it was delivered the next day. The satin white color matches well with the sink and the installation was done meticulously. I am satisfied and will use it well. #Samsung Electronics Event Participation",[ 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 ... ] || ---------------- || 설치전 싱크대 리폼 작업으로 하루전 방문 해주셨는데 다행히 문제 없이 설치 가능해서 다음날 배송 받았네요.세틴 화이트색 너무 싱크대와 잘 어울리고 설치도 꼼꼼하게 잘해주셨어요.만족하고 잘쓰겠습니다.#삼성전자이벤트참여,,,5.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Positive,use,Design,The only 2 positive things about this dishwasher are its look and the extra third rack for utensils.,"[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Positive,use,Easy_Use,The only 2 positive things about this dishwasher are its look and the extra third rack for utensils.,"[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Negative,use,Easy_Use,"However, this dishwasher does not dry the dishes properly, especially the items in the top racks.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Negative,use,Performance_Drying,"However, this dishwasher does not dry the dishes properly, especially the items in the top racks.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Negative,use,Performance_Drying,They always come out soaking wet even with the 2 drying modes and after it's done washing for hours.,"[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Negative,use,Performance_Drying,The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly.,"[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
23-11-29,57128267,dw,top_control,WHIRLPOOL,WDPA70SAMZ,WDPA70SAMZ,,us,retail,lowes,,Positive,use,Performance_Drying,Even my 30 year-old Kenmore dishwasher dried better than this.,"[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.","[ Does not dry dishes properly ] || ---------------- || The only 2 positive things about this dishwasher are its look and the extra third rack for utensils. However, this dishwasher does not dry the dishes properly, especially the items in the top racks. They always come out soaking wet even with the 2 drying modes and after it's done washing for hours. The top rack drips water to dried items in the 2 bottom racks so nothing ends up being dried properly. Even my 30 year-old Kenmore dishwasher dried better than this. Very disappointed and would not recommend buying this Whirlpool dishwasher.",,,2.0
