Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-04-11,60934424,dw,builtin,LG,Objet_collection,DUBJ4HL,ASIA,kr,retail,naver_shop,,Positive,purchase,Price,Satisfied with the low price!,[ Satisfied with the low price! ] || ---------------- || Satisfied with the low price!,[ 가격 저렴해서 핵만족!! ] || ---------------- || 가격 저렴해서 핵만족!!,,,5.0
24-04-11,60934437,dw,builtin,LG,Objet_collection,DUBJ4HL,ASIA,kr,retail,naver_shop,,Neutral,purchase,Design,I bought a new one while remodeling my house.,"[ It’s clean and nice~ ] || ---------------- || I bought a new one while remodeling my house. It's so clean and nice! It was a bit burdensome because it was white, but it matched the new sink ^^",[ 깔끔하고 좋아요~ ] || ---------------- || 집 리모델링하면서 새로 구매했어요~ 너무 깔끔 좋네요! 흰색이라 부담되긴했지만 새로한 싱크대랑 어울리네요 ^^,,,5.0
24-04-11,60934437,dw,builtin,LG,Objet_collection,DUBJ4HL,ASIA,kr,retail,naver_shop,,Positive,use,Performance_Washing,It's so clean and nice!,"[ It’s clean and nice~ ] || ---------------- || I bought a new one while remodeling my house. It's so clean and nice! It was a bit burdensome because it was white, but it matched the new sink ^^",[ 깔끔하고 좋아요~ ] || ---------------- || 집 리모델링하면서 새로 구매했어요~ 너무 깔끔 좋네요! 흰색이라 부담되긴했지만 새로한 싱크대랑 어울리네요 ^^,,,5.0
24-04-11,60934437,dw,builtin,LG,Objet_collection,DUBJ4HL,ASIA,kr,retail,naver_shop,,Negative,,Design,"It was a bit burdensome because it was white, but it matched the new sink ^^","[ It’s clean and nice~ ] || ---------------- || I bought a new one while remodeling my house. It's so clean and nice! It was a bit burdensome because it was white, but it matched the new sink ^^",[ 깔끔하고 좋아요~ ] || ---------------- || 집 리모델링하면서 새로 구매했어요~ 너무 깔끔 좋네요! 흰색이라 부담되긴했지만 새로한 싱크대랑 어울리네요 ^^,,,5.0
24-04-11,60934437,dw,builtin,LG,Objet_collection,DUBJ4HL,ASIA,kr,retail,naver_shop,,Negative,,Easy_Use,"It was a bit burdensome because it was white, but it matched the new sink ^^","[ It’s clean and nice~ ] || ---------------- || I bought a new one while remodeling my house. It's so clean and nice! It was a bit burdensome because it was white, but it matched the new sink ^^",[ 깔끔하고 좋아요~ ] || ---------------- || 집 리모델링하면서 새로 구매했어요~ 너무 깔끔 좋네요! 흰색이라 부담되긴했지만 새로한 싱크대랑 어울리네요 ^^,,,5.0
24-04-11,60940672,dw,top_control,SAMSUNG,DW80CG5451SR,DW80CG5451SR,,us,retail,lowes,,Neutral,use,Design,"It matches my other appliances, as far as the operation I'll let you know.","[ Match ] || ---------------- || It matches my other appliances, as far as the operation I'll let you know.","[ Match ] || ---------------- || It matches my other appliances, as far as the operation I'll let you know.",,,4.0
24-04-11,60940730,dw,front_control,BOSCH,100_series,SHE3AEM5N,,us,retail,lowes,,Negative,,Durability,Showed up dented.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,,,1.0
24-04-11,60940730,dw,front_control,BOSCH,100_series,SHE3AEM5N,,us,retail,lowes,,Negative,"onboard,replace",Price,Already have paid for it its been a month and replacement is still not installed yet.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,,,1.0
24-04-11,60940730,dw,front_control,BOSCH,100_series,SHE3AEM5N,,us,retail,lowes,,Negative,"onboard,replace",Service,Already have paid for it its been a month and replacement is still not installed yet.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,[ Don't buy from lowes ] || ---------------- || Showed up dented. Already have paid for it its been a month and replacement is still not installed yet.,,,1.0
24-04-11,60942296,dw,top_control,KITCHENAID,KDTM404KBS,KDTM404KBS,,us,retail,homedepot,,Neutral,,,(This review was collected as part of a promotion.),[ Love our new dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Had this dishwasher for about a month. We LOVE it! It really highlighted how bad at cleaning our old LG dishwasher was.,[ Love our new dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Had this dishwasher for about a month.  We LOVE it!  It really highlighted how bad at cleaning our old LG dishwasher was.,,,5.0
24-04-11,60942296,dw,top_control,KITCHENAID,KDTM404KBS,KDTM404KBS,,us,retail,homedepot,,Neutral,use,,Had this dishwasher for about a month.,[ Love our new dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Had this dishwasher for about a month. We LOVE it! It really highlighted how bad at cleaning our old LG dishwasher was.,[ Love our new dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Had this dishwasher for about a month.  We LOVE it!  It really highlighted how bad at cleaning our old LG dishwasher was.,,,5.0
