Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-11-07,98002092,dw,builtin,LG,12_person,DUB61TB,ASIA,kr,retail,naver_shop,,Negative,"purchase,use",Noise_Vibration,"Good value for money, but a bit loud","Good value for money, but a bit loud",[ 가성비  좋지만 소리가좀 커요 ] || ---------------- || 가성비  좋지만 소리가좀 커요,Not verified,,4.0
24-11-07,98002092,dw,builtin,LG,12_person,DUB61TB,ASIA,kr,retail,naver_shop,,Negative,"purchase,use",Price,"Good value for money, but a bit loud","Good value for money, but a bit loud",[ 가성비  좋지만 소리가좀 커요 ] || ---------------- || 가성비  좋지만 소리가좀 커요,Not verified,,4.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,,"We've had this for 2 months now, and I love it!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,Performance_Washing,"My dishes come out sparkling clean, even my pots & pans.","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Negative,use,Design,"It holds a ridiculous amount of dishes, glasses, pots & pans & silverware.","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Very Positive,use,Easy_Use,The upper 3rd rack is the best thing!,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,Design,It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher.,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,Easy_Use,It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher.,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,,I love that it opens at the end of the cycle.,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,Performance_Drying,My dishes come out clean & dry!,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Positive,use,Performance_Washing,My dishes come out clean & dry!,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091390,dw,top_control,SAMSUNG,DW80CG5450SR,DW80CG5450SR,,us,retail,homedepot,,Very Positive,deliver,Delivery_Installation,Delivery was fantastic!,"[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry! Delivery was fantastic!","[ This is the dishwasher I never knew I needed! ] || ---------------- || We've had this for 2 months now, and I love it! My dishes come out sparkling clean, even my pots & pans. It holds a ridiculous amount of dishes, glasses, pots & pans & silverware. The upper 3rd rack is the best thing! It accomodates all the things that took too much room in the top rack & all the little pieces that would fall through the basket or top rack in my old dishwasher. I love that it opens at the end of the cycle. My dishes come out clean & dry!!  Delivery was fantastic!",,,5.0
24-11-07,66091999,dw,top_control,GE,GDP630PGRBB_GDP630PGRWW_GDP630PMRES_GDP630PYRFS,GDP630PGRBB_GDP630PGRWW_GDP630PMRES_GDP630PYRFS,,us,retail,lowes,,Negative,use,Noise_Vibration,When you put the door up it made a loud pop noise.,[ n/a ] || ---------------- || When you put the door up it made a loud pop noise.,[ n/a ] || ---------------- || When you put the door up it made a loud pop noise.,,,3.0
