Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-04-04,85742974,dw,top_control,GE,PDP755SYVFS,PDP755SYVFS,,us,retail,homedepot,,Positive,use,Easy_Use,I like the rack on top for flat items.,The dishwasher was installed Incorrectly and stuck out too far. We called and they sent someone out within 48 hours and fixed it. The dishwasher Is stainless steel and really cleans. I like the rack on top for flat items.,The dishwasher was installed Incorrectly and stuck out too far. We called and they sent someone out within 48 hours and fixed it. The dishwasher Is stainless steel and really cleans. I like the rack on top for flat items.,Verified,,5.0
24-04-04,60563812,dw,dishwasher,LG,,,ASIA,kr,cafe,naver_cafe,om,Positive,,,I bought it and it was good,I bought it and it was good,저는 구매했는데 좋더라고요 ㅎㅎ,,,unrated
24-04-04,60563837,dw,dishwasher,LG,,,ASIA,kr,blog,naver_blog,om,Neutral,,,Does the salt not have to completely dissolve?,Does the salt not have to completely dissolve?,소금이 완전히 녹지 않아도 되나요?,,,unrated
24-04-04,60563842,dw,dishwasher,LG,,,ASIA,kr,blog,naver_blog,om,Neutral,,Service,The driver didn't say anything about whether that was the case or not.,"The driver didn't say anything about whether that was the case or not. If it's your first time, just add water.",그 여부에 대해선 기사님도 따로 말씀 없으셨어요. 처음이시라면 넣고 물만 넣어주심 됩니다~,,,unrated
24-04-04,60563842,dw,dishwasher,LG,,,ASIA,kr,blog,naver_blog,om,Neutral,,,"If it's your first time, just add water.","The driver didn't say anything about whether that was the case or not. If it's your first time, just add water.",그 여부에 대해선 기사님도 따로 말씀 없으셨어요. 처음이시라면 넣고 물만 넣어주심 됩니다~,,,unrated
24-04-04,60565033,dw,front_control,BOSCH,2_series,SMS25AI05E,EU,es,retail,amazon_es,,Positive,use,Noise_Vibration,Very quiet and good operation.,[ Good device ] || ---------------- || Very quiet and good operation. I hope it also proves durable.,[ Buen aparato ] || ---------------- || Muy silencioso y buen funcionamiento. Ojalá también resulte duradero.,,,5.0
24-04-04,60565033,dw,front_control,BOSCH,2_series,SMS25AI05E,EU,es,retail,amazon_es,,Neutral,use,Durability,I hope it also proves durable.,[ Good device ] || ---------------- || Very quiet and good operation. I hope it also proves durable.,[ Buen aparato ] || ---------------- || Muy silencioso y buen funcionamiento. Ojalá también resulte duradero.,,,5.0
24-04-04,60565108,dw,top_control,GE,GPT225SSLSS,GPT225SSLSS,,us,retail,homedepot,,Negative,use,,Works great rolls a bit rough,Works great rolls a bit rough,Works great rolls a bit rough,,,4.0
24-04-04,60565141,dw,top_control,GE,GDP670SGVBB,GDP670SGVBB,,us,retail,lowes,,Positive,use,Noise_Vibration,Works great and super quiet.,[ Buy the water supply 90 ] || ---------------- || Works great and super quiet.,[ Buy the water supply 90 ] || ---------------- || Works great and super quiet.,,,5.0
24-04-04,60565250,dw,top_control,GE,GPT225SSLSS,GPT225SSLSS,,us,retail,bestbuy,,Positive,use,,Two years this has done well for us on a daily basis.,"[ Almost great ] || ---------------- || Two years this has done well for us on a daily basis. There has been little need for maintenance until now. I wish that the hoses and power cord had auto retract or at least went in a little easier, and I am not a fan of the panel being in the door area as it is, ( see photo) as it makes it difficult to use, hence the one less star, but overall a good machine. I would DEFINITELY recommend this product!","[ Almost great ] || ---------------- || Two years this has done well for us on a daily basis. There has been little need for maintenance until now. I wish that the hoses and power cord had auto retract or at least went in a little easier, and I am not a fan of the panel being in the door area as it is, ( see photo) as it makes it difficult to use, hence the one less star, but overall a good machine. I would DEFINITELY recommend this product!",,,4.0
