Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-10-04,76578207,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Noise_Vibration,"I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.","[ Great dishwasher ] || ---------------- || I really like this dishwasher. I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.","[ Great dishwasher ] || ---------------- || [This review was collected as part of a promotion.] I really like this dishwasher. I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.",Not verified,Originally posted on maytag.com,5.0
23-10-04,76578207,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Performance_Washing,"I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.","[ Great dishwasher ] || ---------------- || I really like this dishwasher. I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.","[ Great dishwasher ] || ---------------- || [This review was collected as part of a promotion.] I really like this dishwasher. I have never had a dishwasher that was so quiet, you can't even tell when it's on and the dishes are as clean as possible.",Not verified,Originally posted on maytag.com,5.0
23-10-04,76578205,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,works fine.,[ looks good. clean lines ] || ---------------- || works fine. as told. nice stainlesssteel tub.installed well,[ looks good.. clean lines ] || ---------------- || [This review was collected as part of a promotion.] works fine.. as told.... nice stainlesssteel tub.installed well,Not verified,Originally posted on maytag.com,5.0
23-10-04,76578205,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Neutral,,,as told.,[ looks good. clean lines ] || ---------------- || works fine. as told. nice stainlesssteel tub.installed well,[ looks good.. clean lines ] || ---------------- || [This review was collected as part of a promotion.] works fine.. as told.... nice stainlesssteel tub.installed well,Not verified,Originally posted on maytag.com,5.0
23-10-04,76578205,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Design,nice stainless tub.,[ looks good. clean lines ] || ---------------- || works fine. as told. nice stainlesssteel tub.installed well,[ looks good.. clean lines ] || ---------------- || [This review was collected as part of a promotion.] works fine.. as told.... nice stainlesssteel tub.installed well,Not verified,Originally posted on maytag.com,5.0
23-10-04,76578205,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,onboard,Delivery_Installation,installed well,[ looks good. clean lines ] || ---------------- || works fine. as told. nice stainlesssteel tub.installed well,[ looks good.. clean lines ] || ---------------- || [This review was collected as part of a promotion.] works fine.. as told.... nice stainlesssteel tub.installed well,Not verified,Originally posted on maytag.com,5.0
23-10-04,76578210,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Performance_Washing,"One month old working great, cleans dishes as expected.","[ Quiet ] || ---------------- || One month old working great, cleans dishes as expected.","[ Quiet ] || ---------------- || [This review was collected as part of a promotion.] One month old working great, cleans dishes as expected.",Not verified,Originally posted on maytag.com,5.0
23-10-04,76578203,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Neutral,"maintain,replace",Service,"After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.",Not verified,,3.0
23-10-04,76578203,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Negative,maintain,Service,"Lowes did nothing to help, and will not change the date on the warranty I purchased.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.",Not verified,,3.0
23-10-04,76578203,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Negative,,Durability,"Normally I would agree with that, but it broke in less than 1 month.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.","[ Broke after 4 washes, lousy Lowes customer support ] || ---------------- || After 3 repair attempts, and almost 2 months, Maytag has replaced my dishwasher. Lowes did nothing to help, and will not change the date on the warranty I purchased. Normally I would agree with that, but it broke in less than 1 month. I would not recommend buying any appliances or warranties from Lowes.",Not verified,,3.0
