Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-11-24,56955923,dw,front_control,BOSCH,6_series,SMS6HAI02A,ASIA,au,retail,bosch_home_au,,Neutral,,Service,"I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths.","[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.","[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.",,,5.0
23-11-24,56955923,dw,front_control,BOSCH,6_series,SMS6HAI02A,ASIA,au,retail,bosch_home_au,,Neutral,use,Easy_Use,I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray.,"[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.","[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.",,,5.0
23-11-24,56955923,dw,front_control,BOSCH,6_series,SMS6HAI02A,ASIA,au,retail,bosch_home_au,,Positive,,Durability,Thanks Bosch for quality machines.,"[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.","[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.",,,5.0
23-11-24,56955923,dw,front_control,BOSCH,6_series,SMS6HAI02A,ASIA,au,retail,bosch_home_au,,Positive,,Service,Thanks Bosch for quality machines.,"[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.","[ Replacement, chose the same again ] || ---------------- || This new improved Bosch dishwasher is a free replacement for my previous Bosch dishwasher that lasted one month short of its 6 yr extended warranty! I am very glad I took the offer and acted on it promptly. I was so pleased with my previous Bosch that I did not look at other brands, but just MADE SURE (as per the technician's instructions) to buy one with a SSt floor and get one with a stamped model/SN on the top edge of the door, NOT a sticker on the side edge of the door. I also bought extended warranty for the new Bosch, although I note it is an extra 36 mths now, not 48 mths. I note that the cutlery basket no longer leaves a 'gap' when removed as it can fit over dish dividers all along the front bottom sliding tray. Thanks Bosch for quality machines.",,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Neutral,use,Noise_Vibration,My first dishwasher was an old second hand Bosch that never missed a beat.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Neutral,"purchase,replace",Service,We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Neutral,decide,Easy_Use,We decided to get the same as it was easy to know it fit in the spot.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Very Negative,,Price,It gave us nothing but trouble and the fisher and paykel service was unbelievably bad.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Very Negative,,Service,It gave us nothing but trouble and the fisher and paykel service was unbelievably bad.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Positive,replace,Service,We now have replaced that with a Bosch and we couldn't be happier.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
23-11-24,56992884,dw,front_control,BOSCH,4_series,SMU4HVS01A,ASIA,au,retail,bosch_home_au,,Positive,use,Durability,So reliable.,[ The best!  ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat. We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing. We decided to get the same as it was easy to know it fit in the spot. It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier. So reliable. Most of our appliances are Bosch.,[ The best!!! ] || ---------------- || My first dishwasher was an old second hand Bosch that never missed a beat.  We bought a new home that already had fisher and paykel dishdraw and after a few years needed replacing.  We decided to get the same as it was easy to know it fit in the spot.  It gave us nothing but trouble and the fisher and paykel service was unbelievably bad. We now have replaced that with a Bosch and we couldnt be happier.  So reliable.  Most of our appliances are Bosch.,,,5.0
